date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2023-04-21,"April 21, 23",,,,,,1.28,0.015,1.5,86.52,86.48,1850600,86.1,85.8225,1850600,85.09,85.2
2023-04-20,"April 20, 23",,,,,,-0.37,-0.0043341,-0.43341,86.32,85,1634914,84.63,85.3425,1634914,84.68,85.37
2023-04-19,"April 19, 23",,,,,,1.96,0.0234,2.34,86.88,85.75,2422919,85.37,85.0425,2422919,83.75,83.79
2023-04-18,"April 18, 23",,,,,,0.87,0.0105,1.05,84.16,83.66,1522137,83.29,83.35,1522137,82.79,82.79
2023-04-17,"April 17, 23",,,,,,0.55,0.0066934,0.66934,83.24,82.72,861019,82.36,82.5325,861019,82,82.17
2023-04-14,"April 14, 23",,,,,,-0.08,-0.000970285,-0.0970285,83.28,82.37,1163806,82.01,82.52,1163806,81.98,82.45
2023-04-13,"April 13, 23",,,,,,1.29,0.0158,1.58,83.17,82.94,1252800,82.57,82.285,1252800,81.38,81.65
2023-04-12,"April 12, 23",,,,,,0.745,0.0091347,0.91347,81.9,81.75,1232087,81.39,81.3175,1232087,80.61,81.01
2023-04-11,"April 11, 23",,,,,,0,0,0,80.69,80.59,1167092,80.23,80.4575,1167092,79.96,80.59
2023-04-10,"April 10, 23",,,,,,0.66,0.0082572,0.82572,80.63,80.59,1579274,80.23,80.2125,1579274,79.7,79.93
2023-04-06,"April 06, 23",,,,,,-0.81,-0.01,-1,81.06,80.16,1356746,79.81,80.57,1356746,80.09,80.97
2023-04-05,"April 05, 23",,,,,,-0.38,-0.0046626,-0.46626,81.8,81.12,1410626,80.76,81.2675,1410626,80.65,81.5
2023-04-04,"April 04, 23",,,,,,-0.41,-0.005,-0.5,82.16,81.59,1552706,81.23,81.805,1552706,81.47,82
2023-04-03,"April 03, 23",,,,,,-0.19,-0.0023171,-0.23171,82.62,81.81,1913226,81.45,81.975,1913226,81.47,82
2023-03-31,"March 31, 23",,,,,,-0.22,-0.0026748,-0.26748,82.59,82.03,1916325,81.67,82.1125,1916325,81.58,82.25
