date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-06-29,34.1,34.42,33.83,34.07,32.23,3770600,3770600,-0.03,-0.08797654,34.105,"June 29, 23",-0.0008797654,,,,,
2023-06-28,33.37,33.86,33.17,33.85,32.02,5802300,5802300,0.48,1.44,33.5625,"June 28, 23",0.0144,,,,,
2023-06-27,32.69,33.42,32.41,33.37,31.56,3519100,3519100,0.68,2.08,32.9725,"June 27, 23",0.0208,,,,,
2023-06-26,32.72,33.17,32.49,32.58,30.82,3079202,3079202,-0.14,-0.42787,32.74,"June 26, 23",-0.0042787,,,,,
2023-06-23,32.21,32.82,32.14,32.7,30.93,5142146,5142146,0.49,1.52,32.4675,"June 23, 23",0.0152,,,,,
2023-06-22,32.64,32.76,32.14,32.68,30.91,5729105,5729105,0.04,0.12255,32.555,"June 22, 23",0.0012255,,,,,
2023-06-21,32.7,33.05,32.61,32.81,31.03,6355815,6355815,0.11,0.33639,32.7925,"June 21, 23",0.0033639,,,,,
2023-06-20,32.69,32.82,32.45,32.71,30.94,12243700,12243700,0.02,0.06118079,32.6675,"June 20, 23",0.0006118079,,,,,
2023-06-16,33.4,33.42,32.73,32.9,31.12,8461800,8461800,-0.5,-1.5,33.1125,"June 16, 23",-0.015,,,,,
2023-06-15,33.06,33.46,32.48,33.44,31.63,4854506,4854506,0.38,1.15,33.11,"June 15, 23",0.0115,,,,,
2023-06-14,34.3,34.55,33.22,33.54,31.72,5347500,5347500,-0.76,-2.22,33.9025,"June 14, 23",-0.0222,,,,,
2023-06-13,33.85,34.39,33.72,34.14,32.29,5852236,5852236,0.29,0.85672,34.025,"June 13, 23",0.0085672,,,,,
2023-06-12,33.58,33.83,33.29,33.74,31.91,5398218,5398218,0.16,0.47647,33.61,"June 12, 23",0.0047647,,,,,
2023-06-09,34,34.02,33.55,33.69,31.87,3632100,3632100,-0.31,-0.91176,33.815,"June 09, 23",-0.0091176,,,,,
2023-06-08,34.11,34.14,33.3,33.77,31.94,4619408,4619408,-0.34,-0.99678,33.83,"June 08, 23",-0.0099678,,,,,
2023-06-07,33.92,34.44,33.7,34.2,32.35,4161900,4161900,0.28,0.82547,34.065,"June 07, 23",0.0082547,,,,,
2023-06-06,32.86,33.8,32.65,33.79,31.96,4543232,4543232,0.93,2.83,33.275,"June 06, 23",0.0283,,,,,
2023-06-05,32.93,33.1,32.39,32.71,30.94,4785355,4785355,-0.22,-0.66808,32.7825,"June 05, 23",-0.0066808,,,,,
2023-06-02,31.82,33.21,31.69,33.04,31.25,6375500,6375500,1.22,3.83,32.44,"June 02, 23",0.0383,,,,,
2023-06-01,30.87,31.73,30.61,31.55,29.84,5010500,5010500,0.68,2.2,31.19,"June 01, 23",0.022,,,,,
2023-05-31,30.91,31.2,30.48,30.96,29.28,12950899,12950899,0.05,0.16176,30.8875,"May 31, 23",0.0016176,,,,,
2023-05-30,30.91,31.39,30.83,31.23,29.54,4661600,4661600,0.32,1.04,31.09,"May 30, 23",0.0104,,,,,
